filename,category,theme,format
GH-AUTO-001-tangle-to-order.png,Automation,Complexity transformed into an orderly workflow,1080x1080 PNG
GH-AUTO-002-modular-chain-reaction.png,Automation,Tasks moving automatically through modular stages,1080x1080 PNG
GH-AUTO-003-helpful-automation.png,Automation,A helpful system organizing repetitive work,1080x1080 PNG
GH-AUTO-004-connected-workflow-loop.png,Automation,One connected workflow handling many task types,1080x1080 PNG
GH-AUTO-005-bridge-to-clarity.png,Automation,A system bridging chaos and calm,1080x1080 PNG
GH-AUTO-006-set-it-in-motion.png,Automation,A reliable automated chain reaction,1080x1080 PNG
GH-AUTO-007-connect-the-system.png,Automation,Completing a connected automation system,1080x1080 PNG
GH-AUTO-008-repeated-tasks-hub.png,Automation,Repeated work consolidated through one hub,1080x1080 PNG
GH-AUTO-009-guided-process.png,Automation,A smooth guided path through obstacles,1080x1080 PNG
GH-AUTO-010-seamless-handoff.png,Automation,Coordinated handoffs between automated steps,1080x1080 PNG
GH-EFF-001-clutter-to-calm.png,Efficiency,A cluttered process becoming a calm workspace,1080x1080 PNG
GH-EFF-002-time-saved.png,Efficiency,Time reclaimed by a faster workflow,1080x1080 PNG
GH-EFF-003-simplify-the-work.png,Efficiency,Scattered work simplified into one clean stack,1080x1080 PNG
GH-EFF-004-business-leverage.png,Efficiency,A small lever moving a large workload,1080x1080 PNG
GH-EFF-005-one-clear-path.png,Efficiency,Many winding paths becoming one express lane,1080x1080 PNG
GH-EFF-006-smart-balance.png,Efficiency,Streamlined automation balancing busywork,1080x1080 PNG
GH-EMP-001-rise-with-automation.png,Empowerment,A person rising on systems that support them,1080x1080 PNG
GH-EMP-002-people-win-workflows-run.png,Empowerment,People celebrating while the workflow runs,1080x1080 PNG
GH-EMP-003-open-the-way.png,Empowerment,Opening a clear path through complexity,1080x1080 PNG
GH-EMP-004-work-runs-itself.png,Empowerment,A person resting while a system tends itself,1080x1080 PNG
GH-EMP-005-team-in-flow.png,Empowerment,A team working through one connected system,1080x1080 PNG
GH-EMP-006-control-without-micromanaging.png,Empowerment,Guidance and control without micromanagement,1080x1080 PNG
GH-CLT-001-smooth-client-journey.png,Client service,A smooth connected journey between people,1080x1080 PNG
GH-CLT-002-frictionless-experience.png,Client service,A client guided through a frictionless process,1080x1080 PNG
GH-CLT-003-proactive-communication.png,Client service,Open doors representing proactive communication,1080x1080 PNG
GH-CLT-004-service-delivered.png,Client service,Service delivered smoothly from business to client,1080x1080 PNG
GH-CLT-005-clear-understanding.png,Client service,Communication becoming mutual understanding,1080x1080 PNG
GH-CLT-006-trust-and-reliability.png,Client service,A reliable process protected by trust,1080x1080 PNG
GH-MOM-001-fresh-start.png,Social moment,Fresh starts and Monday motivation,1080x1080 PNG
GH-MOM-002-growth-and-progress.png,Social moment,Business growth emerging from a good system,1080x1080 PNG
GH-HOL-001-mlk-day.png,Holiday/observance,"MLK Day: unity, service, justice, and shared progress",1080x1080 PNG
GH-HOL-002-presidents-day.png,Holiday/observance,Presidents Day: nonpartisan civic service,1080x1080 PNG
GH-HOL-003-valentines-day.png,Holiday/observance,Valentine's Day: connected hearts,1080x1080 PNG
GH-HOL-004-st-patricks-day.png,Holiday/observance,St. Patrick's Day: modular clover and golden path,1080x1080 PNG
GH-HOL-005-easter-renewal.png,Holiday/observance,Easter and spring renewal,1080x1080 PNG
GH-HOL-006-earth-day.png,Holiday/observance,Earth Day: stewardship and circular systems,1080x1080 PNG
GH-HOL-007-mothers-day.png,Holiday/observance,Mother's Day: nurturing and support,1080x1080 PNG
GH-HOL-008-memorial-day.png,Holiday/observance,Memorial Day: solemn remembrance,1080x1080 PNG
GH-HOL-009-fathers-day.png,Holiday/observance,Father's Day: guidance and mentorship,1080x1080 PNG
GH-HOL-010-independence-day.png,Holiday/observance,Independence Day: refined connected fireworks,1080x1080 PNG
GH-HOL-011-labor-day.png,Holiday/observance,"Labor Day: teamwork, work, and craft",1080x1080 PNG
GH-HOL-012-back-to-school.png,Holiday/observance,Back-to-school: organized launchpad for learning,1080x1080 PNG
GH-HOL-013-halloween.png,Holiday/observance,Halloween: friendly automated pumpkin sorting,1080x1080 PNG
GH-HOL-014-veterans-day.png,Holiday/observance,Veterans Day: dignified service and gratitude,1080x1080 PNG
GH-HOL-015-thanksgiving.png,Holiday/observance,"Thanksgiving: sharing, gratitude, and abundance",1080x1080 PNG
GH-HOL-016-christmas.png,Holiday/observance,Christmas: modular evergreen and gifts,1080x1080 PNG
GH-HOL-017-new-year.png,Holiday/observance,New Year: a clean path toward fresh momentum,1080x1080 PNG
GH-SEA-001-spring.png,Season,Spring: sequential blooms and renewal,1080x1080 PNG
GH-SEA-002-summer.png,Season,Summer: bright energy and smooth flow,1080x1080 PNG
GH-SEA-003-fall.png,Season,Fall: change becoming clarity,1080x1080 PNG
GH-SEA-004-winter.png,Season,"Winter: quiet, warm efficiency",1080x1080 PNG
GH-HOL-018-juneteenth.png,Holiday/observance,"Juneteenth: freedom, progress, and joy",1080x1080 PNG
GH-MOM-003-small-business-saturday.png,Social moment,Small Business Saturday and connected local commerce,1080x1080 PNG
GH-MOM-004-year-end-reflection.png,Social moment,Year-end reflection and preparation,1080x1080 PNG
